Image URL,Description,Video URL/Link/Embed
works/COMMISSIONS/1.webp,,
works/COMMISSIONS/2.webp,,
works/COMMISSIONS/3.webp,,
works/COMMISSIONS/4.webp,,
works/COMMISSIONS/5.webp,,
works/COMMISSIONS/6.webp,,
works/COMMISSIONS/7.webp,,
works/COMMISSIONS/8.webp,,
works/COMMISSIONS/9.webp,,
works/COMMISSIONS/10.webp,,
works/COMMISSIONS/11.webp,,
works/COMMISSIONS/12.webp,,
works/COMMISSIONS/13.webp,,
(video),,https://www.youtube.com/embed/oyWsw_F5dBw
(video),,https://www.youtube.com/embed/tsqOHflO9oo
(video),,https://www.youtube.com/embed/WKk5hvFGNEA
(video),,https://www.youtube.com/embed/a3Z8Cf4FTPc
(link),,http://www.silkeschuster.eu/wp-content/uploads/2023/07/Version-3_-komprmiert.m4v
(video),,https://www.youtube.com/embed/fHgOTOHAuvE
(video),,https://www.youtube.com/embed/Kew5Mx0AKFA
(video),,https://player.vimeo.com/video/900348430
(video),,https://www.youtube.com/embed/PGRpuMfU-G0
(video),,https://www.youtube.com/embed/SR5oBL6Uwh0
(video),,https://www.youtube.com/embed/9lvLPSJv9-k 
